Conso;Glacage;Fourrage;Eclair;App glacage;Evocation glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Amer;Ressenti;Liking;Sexe;Age;CSP;Conso Patisseries;Attrait Patisseries;Difficulte Epreuve
7;Gmoyen;Ffort;Gmoyen_Ffort;4;eclair_au_cafe;fourrage,au,cafe,chocolat_au_lait,tres_sucre,tres_lacte;3;3;3;3;je m attendais a ca;3;F;18/24;etudiants;regulierement;10;3
7;Gmoyen;Ffaible;Gmoyen_Ffaible;4;eclair_au_cafe;fourrage,au,cafe,chocolat_au_lait,tres_sucre,tres_lacte;2;4;3;3;decu;1;F;18/24;etudiants;regulierement;10;3
8;Gfonce;Fmoyen;Gfonce_Fmoyen;8;chocolat,fondu,caramel,oncteux;sucrosite,croquant,tres_moelleux,fraicheur,de,creme,tres_sucre,collant,amer;3;3;3;3;agreablement surpris;8;F;18/24;etudiants;regulierement;9;8
8;Gfonce;Ffort;Gfonce_Ffort;8;chocolat,fondu,caramel,oncteux;sucrosite,croquant,tres_moelleux,fraicheur,de,creme,tres_sucre,collant,amer;4;3;4;3;agreablement surpris;8;F;18/24;etudiants;regulierement;9;8
8;Gfonce;Ffaible;Gfonce_Ffaible;8;chocolat,fondu,caramel,oncteux;sucrosite,croquant,tres_moelleux,fraicheur,de,creme,tres_sucre,collant,amer;2;3;3;2;je m attendais a ca;6;F;18/24;etudiants;regulierement;9;8
8;Gclair;Fmoyen;Gclair_Fmoyen;8;caramel,fondant,cafe_au_lait;sucre,peu_amer,cafe,caramel,peu_intense;3;3;3;3;agreablement surpris;9;F;18/24;etudiants;regulierement;9;8
8;Gclair;Ffaible;Gclair_Ffaible;8;caramel,fondant,cafe_au_lait;sucre,peu_amer,cafe,caramel,peu_intense;4;4;4;4;decu;5;F;18/24;etudiants;regulierement;9;8
8;Gclair;Ffort;Gclair_Ffort;8;caramel,fondant,cafe_au_lait;sucre,peu_amer,cafe,caramel,peu_intense;3;3;3;3;je m attendais a ca;8;F;18/24;etudiants;regulierement;9;8
8;Gmoyen;Fmoyen;Gmoyen_Fmoyen;5;cafe_au_lait,vanille,caramel;lacte,peu_amer,gout,cafe,sucre,peu_intense;4;3;2;3;agreablement surpris;7;F;18/24;etudiants;regulierement;9;8
8;Gmoyen;Ffort;Gmoyen_Ffort;5;cafe_au_lait,vanille,caramel;lacte,peu_amer,gout,cafe,sucre,peu_intense;3;3;3;3;je m attendais a ca;8;F;18/24;etudiants;regulierement;9;8
