Conso;Glacage;Fourrage;Eclair;App glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Ressenti;Liking;Difficulte Epreuve;Age enfant;Age parent
17;Gmoyen;Ffaible;Gmoyen_Ffaible;8;chocolat,j_aime;3;2;3;je m attendais a ca;5;5;9;38
17;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;chocolat,j_aime;4;2;2;un peu decu;3;5;9;38
17;Gmoyen;Ffort;Gmoyen_Ffort;8;chocolat,j_aime;5;2;4;tres agreablement surpris;10;5;9;38
17;Gclair;Ffaible;Gclair_Ffaible;8;sucre;3;3;3;agreablement surpris;8;5;9;38
17;Gclair;Fmoyen;Gclair_Fmoyen;8;sucre;3;2;2;un peu decu;5;5;9;38
17;Gclair;Ffort;Gclair_Ffort;8;sucre;5;2;2;je m attendais a ca;6;5;9;38
17;Gfonce;Ffort;Gfonce_Ffort;7;chocolat_noir,un_peu_sucre,chocolat;4;5;2;un peu decu;4;5;9;38
17;Gfonce;Ffaible;Gfonce_Ffaible;7;chocolat_noir,un_peu_sucre,chocolat;2;3;3;je m attendais a ca;10;5;9;38
17;Gfonce;Fmoyen;Gfonce_Fmoyen;7;chocolat_noir,un_peu_sucre,chocolat;3;2;3;agreablement surpris;9;5;9;38
18;Gmoyen;Ffort;Gmoyen_Ffort;10;nutella,j_aime;4;2;3;agreablement surpris;9;3;9;48
18;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;nutella,j_aime;4;4;3;agreablement surpris;8;3;9;48
18;Gmoyen;Ffaible;Gmoyen_Ffaible;10;nutella,j_aime;4;4;3;agreablement surpris;8;3;9;48
18;Gclair;Ffaible;Gclair_Ffaible;7;tres_lait;3;3;2;agreablement surpris;8;3;9;48
18;Gclair;Ffort;Gclair_Ffort;7;tres_lait;4;4;4;agreablement surpris;8;3;9;48
18;Gclair;Fmoyen;Gclair_Fmoyen;7;tres_lait;4;3;4;un peu decu;8;3;9;48
18;Gfonce;Ffaible;Gfonce_Ffaible;10;tres_chocolat;3;3;3;je m attendais a ca;9;3;9;48
18;Gfonce;Fmoyen;Gfonce_Fmoyen;10;tres_chocolat;4;3;4;je m attendais a ca;9;3;9;48
18;Gfonce;Ffort;Gfonce_Ffort;10;tres_chocolat;4;3;5;agreablement surpris;10;3;9;48
19;Gmoyen;Ffort;Gmoyen_Ffort;6;chocolat,sucre;3;4;3;je m attendais a ca;6;7;10;42
19;Gmoyen;Fmoyen;Gmoyen_Fmoyen;6;chocolat,sucre;4;3;3;agreablement surpris;7;7;10;42
19;Gmoyen;Ffaible;Gmoyen_Ffaible;6;chocolat,sucre;3;3;4;un peu decu;4;7;10;42
19;Gclair;Ffort;Gclair_Ffort;8;je_sais_pas;4;5;3;tres decu;2;7;10;42
19;Gclair;Ffaible;Gclair_Ffaible;8;je_sais_pas;3;3;3;agreablement surpris;9;7;10;42
19;Gclair;Fmoyen;Gclair_Fmoyen;8;je_sais_pas;4;3;3;je m attendais a ca;8;7;10;42
19;Gfonce;Ffaible;Gfonce_Ffaible;4;bof;2;3;3;tres agreablement surpris;10;7;10;42
19;Gfonce;Ffort;Gfonce_Ffort;4;bof;4;4;3;un peu decu;5;7;10;42
19;Gfonce;Fmoyen;Gfonce_Fmoyen;4;bof;4;4;3;agreablement surpris;8;7;10;42
20;Gmoyen;Ffaible;Gmoyen_Ffaible;5;j_aime;3;5;3;agreablement surpris;10;4;7;44
20;Gmoyen;Ffort;Gmoyen_Ffort;5;j_aime;3;1;5;agreablement surpris;9;4;7;44
20;Gmoyen;Fmoyen;Gmoyen_Fmoyen;5;j_aime;5;5;3;tres agreablement surpris;10;4;7;44
20;Gclair;Fmoyen;Gclair_Fmoyen;7;cafe,caramel;2;2;3;tres agreablement surpris;9;4;7;44
20;Gclair;Ffort;Gclair_Ffort;7;cafe,caramel;5;1;3;un peu decu;4;4;7;44
